cancer_type	perc_diploid	nb_clones	nb_mut	nb_sig	min_dist	max_dist	avg_dist	avg_major_cn	actual_perc_diploid	avg_tot_cn	index	bic	aic	aicc	icl_q	icl_qn	bic_alt	sh_4	sh_5	sh_6	sh_7	sh_8	sh_9	sh_10	max_curvature	ll_1	ll_2	ll_3	ll_4	ll_5	ll_6	ll_7	ll_8	ll_9	ll_10	timestamp
24	100	1	600	65				1.0	1.0	2.0	0	1	1	10	1	1	1	2	2	2	5	5	8	8	2	-4415.740113968811	-4411.507710535228	-4411.111668709044	-4410.632565705368	-4410.553061998446	-4410.5654812298935	-4410.58894618135	-4410.534829714406	-4410.600092545701	-4410.694887436267	1559334616.8006346
24	100	1	600	7				1.0	1.0	2.0	0	1	1	1	4	1	1	1	3	3	3	3	6	6	3	-4425.926182093286	-4425.659893893978	-4425.385916550156	-4425.387134113578	-4425.309630963997	-4425.296424480554	-4425.327986993227	-4425.3209226064255	-4425.319520055229	-4425.315819879866	1559334616.8006346
24	0	1	1000	65				2.278	0.0	3.4619999999999997	0	1	1	1	1	1	1	2	2	2	2	2	2	5	2	-7427.634626943536	-7422.816310610533	-7424.414234770263	-7422.363489736147	-7420.083735115443	-7422.158002107286	-7421.013311004095	-7420.8116277824765	-7420.8557146813755	-7419.963338686371	1559340006.2739837
24	0	1	1000	7				2.278	0.0	3.4619999999999997	0	1	1	1	1	1	1	1	1	3	4	4	4	10	9	-7434.712146995257	-7434.560776359597	-7433.234613926415	-7433.233126070691	-7433.270661524491	-7433.254722475554	-7434.4931188053515	-7433.264909368088	-7434.56087873081	-7433.230538340102	1559340006.2739837
24	20	1	1000	65				1.963	0.222	3.043	0	1	1	1	1	1	1	3	3	3	3	3	3	3	6	-8270.794965708754	-8265.409328320686	-8262.798851006513	-8262.878345947534	-8262.837563861622	-8265.339641250479	-8263.375115051764	-8264.078377771857	-8263.832468611401	-8263.870963759167	1559345987.340905
24	20	1	1000	7				1.963	0.222	3.043	0	1	1	1	8	1	1	1	4	4	4	4	4	4	3	-8283.834076723455	-8282.83510593112	-8281.454716531032	-8281.235641257364	-8281.281314322789	-8281.384899084453	-8281.344597813979	-8281.364237144611	-8281.478214790759	-8281.505511345018	1559345987.340905
24	40	1	1000	65				1.703	0.419	2.7710000000000004	0	1	1	1	1	1	1	2	2	2	2	7	7	7	2	-8072.424541722704	-8064.839476074464	-8064.536043678506	-8064.430543834722	-8063.445082568287	-8063.638252244742	-8063.24274774102	-8064.391922213105	-8063.934648061193	-8063.711653230478	1559340015.2486475
24	40	1	1000	7				1.703	0.419	2.7710000000000004	0	1	1	1	4	1	1	2	2	2	4	4	4	4	2	-8078.290287906129	-8072.5757863652225	-8072.577209920596	-8071.363753458817	-8071.392067873024	-8071.380945675666	-8071.368297472362	-8071.373460319472	-8071.437259716758	-8071.407831598565	1559340015.2486475
24	60	1	1000	65				1.46	0.638	2.48	0	1	1	1	1	1	1	2	2	2	2	6	2	2	2	-8133.151684534368	-8128.075960530645	-8130.0874307063805	-8126.533920070276	-8126.191650466666	-8125.708003735966	-8125.822819850014	-8125.9862527071	-8125.6657926598145	-8125.755012942521	1559347436.8475692
24	60	1	1000	7				1.46	0.638	2.48	0	1	1	1	2	1	1	2	3	3	3	3	3	6	2	-8139.594192744806	-8138.523032942751	-8138.309689272706	-8138.309474489182	-8138.307494749903	-8138.303147929809	-8138.303694288563	-8138.304528777209	-8138.303385193898	-8138.303298223348	1559347436.8475692
24	80	1	1000	65				1.206	0.818	2.1830000000000003	0	1	1	1	1	1	1	1	1	3	3	4	4	4	2	-7652.006586663125	-7652.423982273278	-7650.927972289796	-7650.849826480435	-7650.815080358808	-7650.764297266874	-7650.738720845348	-7650.7014027097775	-7650.670436233626	-7650.64698296177	1559335618.6286526
24	80	1	1000	7				1.206	0.818	2.1830000000000003	0	1	1	1	2	1	1	3	1	1	1	1	7	3	2	-7661.783188397016	-7661.783603480636	-7661.783004934445	-7661.783261328051	-7661.783002639044	-7661.783001038078	-7661.783000862954	-7661.783000881089	-7661.783000876501	-7661.783000866262	1559335618.6286526
24	100	1	1000	65				1.0	1.0	2.0	0	1	1	1	1	1	1	2	3	4	4	6	5	5	2	-7271.817358400991	-7262.723102145945	-7261.168358052257	-7260.697919791198	-7260.634034810051	-7260.594871007848	-7260.604043867488	-7260.6396079014075	-7260.511542417334	-7260.516244276202	1559335226.3519208
24	100	1	1000	7				1.0	1.0	2.0	0	1	1	1	2	1	1	1	4	3	6	3	3	4	3	-7279.013115079506	-7278.481223234354	-7275.957357906433	-7275.943782873432	-7275.956984749386	-7275.942023872199	-7275.957521061811	-7275.946367456449	-7275.946787434043	-7275.9428524305895	1559335226.3519208
24	0	1	5000	65				2.2528	0.0	3.409	0	1	1	1	1	1	1	2	2	2	2	4	4	8	2	-40500.657814997016	-40496.50139215407	-40496.886960441734	-40495.58808319853	-40495.62222299855	-40495.55883992529	-40495.53926598653	-40495.36822772501	-40495.38187946135	-40495.76777017875	1559770647.0481982
24	0	1	5000	7				2.2528	0.0	3.409	0	1	1	1	1	1	1	2	3	5	2	2	7	7	2	-40506.592834410505	-40505.688565321376	-40505.65975815701	-40505.65429505952	-40505.653202456335	-40505.65721060836	-40505.65195457165	-40505.65228839877	-40505.655133161854	-40505.65374936622	1559770647.0481982
24	20	1	5000	65				1.9696	0.22	3.077	0	1	1	1	1	1	1	2	2	2	2	2	2	5	2	-41170.79874257711	-41165.65397176792	-41168.105306990015	-41165.63058067837	-41162.21866443048	-41161.86256090119	-41161.50483054583	-41161.3308002242	-41160.95862836949	-41160.420467385564	1559768441.86002
24	20	1	5000	7				1.9696	0.22	3.077	0	1	1	1	3	1	1	3	3	3	3	3	3	3	3	-41175.022177759674	-41173.47997660788	-41172.172128362596	-41172.17563175466	-41172.17961477065	-41172.50082100087	-41172.61201925565	-41172.50226935574	-41172.569759159036	-41172.39775892925	1559768441.86002
