nb_mut	nb_clones	cancer_type	nb_sig_subMU	seed	perc_dip	loglikelihood_MU	loglikelihood_nopi_MU	loglikelihood_subMU	loglikelihood_nopi_subMU	timestamp
600	4	28	17	2690	0.2	-5204.09271385188	-5225.789261858486	-5220.741382998615	-5230.307261678629	1560225547.1066468
600	4	28	17	2691	0.4	-4936.949713219732	-4962.152128133821	-4952.717168635931	-4963.250323888587	1560225926.5148656
600	4	28	17	2692	0.6	-4717.280052860384	-4732.956508959498	-4726.549287276197	-4736.652490849964	1560225487.7392375
600	4	28	17	2693	0.8	-4914.760744360784	-4941.7807347588505	-4936.250033105342	-4947.37921534002	1560225546.977168
600	4	28	17	2694	1.0	-4644.335582507962	-4663.269715758494	-4654.233386759262	-4665.932679710484	1560225409.3669736
600	4	29	9	2695	0.0	-4756.651179155258	-4773.726764104905	-4770.835482312264	-4777.831855230023	1560225638.2024505
600	4	29	9	2696	0.2	-4545.392347565021	-4561.378489399856	-4564.331869696546	-4568.897979525163	1560225765.7499034
600	4	29	9	2697	0.4	-4650.667384546588	-4669.354881964145	-4665.2694511967275	-4672.559561383128	1560225588.1128457
600	4	29	9	2698	0.6	-4326.197643013258	-4335.95709722778	-4326.770800729782	-4333.083873934009	1560225824.9460948
600	4	29	9	2699	0.8	-4576.279132443688	-4600.136382717428	-4602.624227825212	-4610.366829842576	1560225492.664273
600	4	29	9	2700	1.0	-4560.384227038039	-4576.8077065387815	-4589.215692976005	-4594.967986036088	1560225350.4416378
600	4	30	7	2701	0.0	-4692.584010109231	-4720.361853742857	-4720.131762049101	-4732.046563068673	1560225511.146233
600	4	30	7	2702	0.2	-5099.168082841192	-5114.192034123431	-5119.0034211444645	-5120.830757777607	1560225886.547248
600	4	30	7	2703	0.4	-5099.703915512235	-5126.509708843355	-5127.5656013323905	-5136.338127023666	1560225847.165841
600	4	30	7	2704	0.6	-5051.473347185881	-5071.660799099073	-5071.046346011886	-5077.836853778726	1560226234.9515288
600	4	30	7	2705	0.8	-5010.412272732664	-5028.142835898969	-5029.671194687124	-5034.826721665223	1560225827.118611
600	4	30	7	2706	1.0	-4827.280421145098	-4846.969037426867	-4846.282591884526	-4851.717017862489	1560225570.939449
600	4	31	8	2707	0.0	-4743.6147869049355	-4773.649542309824	-4765.782357007011	-4777.676902368633	1560227098.7479284
600	4	31	8	2708	0.2	-4692.1738840528715	-4716.414951735481	-4722.185650236657	-4728.98168658945	1560226334.996127
600	4	31	8	2709	0.4	-5067.1530816843015	-5095.129527168016	-5093.5749077908395	-5099.2436792891385	1560225781.4715416
600	4	31	8	2710	0.6	-4937.908571111548	-4961.349211249705	-4955.110309175394	-4967.092353642722	1560225803.6154609
600	4	31	8	2711	0.8	-4733.815429651472	-4758.8121288689645	-4759.990531735441	-4766.854845104621	1560225819.179287
600	4	31	8	2712	1.0	-4708.9134842234935	-4741.784294944242	-4731.186705911945	-4746.170247744396	1560225506.4805784
600	4	32	17	2713	0.0	-4674.720125865298	-4694.066096030988	-4687.999752723705	-4698.9287120017825	1560225810.0170581
600	4	32	17	2714	0.2	-4589.46260005177	-4612.071011039538	-4602.415081580034	-4614.930779806222	1560225783.7969825
600	4	32	17	2715	0.4	-4645.52393366653	-4658.672344714751	-4649.995751864809	-4658.069818531236	1560225688.4847884
600	4	32	17	2716	0.6	-4531.572505124593	-4555.632936792273	-4541.46785372374	-4554.162591669084	1560226430.4890723
600	4	32	17	2717	0.8	-4520.495137498994	-4538.189916139817	-4534.70875239379	-4543.4187362976645	1560225706.4378757
600	4	32	17	2718	1.0	-4691.307701666811	-4716.894652331257	-4699.776822144127	-4714.702008269682	1560225482.1152425
600	4	33	7	2719	0.0	-4922.5743275169425	-4950.084099537486	-4950.807368861286	-4959.235111190107	1560225790.5946577
600	4	33	7	2720	0.2	-4688.410214766353	-4707.189238292453	-4700.257907717305	-4708.588389111681	1560225656.8473327
600	4	33	7	2721	0.4	-4739.7142895416055	-4756.2613423207895	-4766.665591831682	-4770.705710196372	1560225620.912519
600	4	33	7	2722	0.6	-4562.623071558863	-4584.180115403627	-4583.487562188473	-4588.516982313188	1560226195.8164706
600	4	33	7	2723	0.8	-4393.396289403922	-4416.793039187909	-4412.093714876435	-4422.4141875796895	1560225765.4036753
600	4	33	7	2724	1.0	-4822.704881319175	-4845.602849926371	-4845.563818978451	-4853.037980686	1560225628.9115758
600	4	34	11	2725	0.0	-4740.696200106077	-4766.276886036491	-4764.0322510526175	-4772.985108450554	1560225842.035302
600	4	34	11	2726	0.2	-4557.825253311467	-4580.084946952544	-4571.923343291141	-4585.3297034063535	1560226249.194348
600	4	34	11	2727	0.4	-4333.174862836166	-4350.421914296951	-4342.579403851032	-4353.980769939311	1560225990.1405046
600	4	34	11	2728	0.6	-4799.18281470174	-4822.212975358064	-4816.351423602787	-4826.188004142174	1560225929.9021997
600	4	34	11	2729	0.8	-4669.76786501051	-4684.159194266421	-4672.546591133925	-4688.050600005216	1560226444.689353
600	4	34	11	2730	1.0	-4299.823346316796	-4316.1964742743985	-4309.4121320406375	-4318.602741790893	1560225766.3820467
1000	4	0	19	2731	0.0	-7605.678279744545	-7620.424218607902	-7617.539332735521	-7625.228909301788	1560226583.73746
1000	4	0	19	2732	0.2	-7984.202162522852	-8008.59520404568	-8002.485104243235	-8017.9327130952515	1560226348.6993573
1000	4	0	19	2733	0.4	-8407.393952261491	-8419.499574492711	-8391.260182379103	-8407.074546574353	1560225956.9532046
1000	4	0	19	2734	0.6	-8218.52299734357	-8247.14007456883	-8241.071805005027	-8256.238645011363	1560226039.1971207
1000	4	0	19	2735	0.8	-8596.348246153817	-8627.123615490538	-8615.016982359808	-8632.612004056184	1560226135.850782
1000	4	0	19	2736	1.0	-8543.428107134261	-8565.429453500436	-8549.471247128024	-8566.280018086869	1560225780.2291675
1000	4	1	8	2737	0.0	-7184.268777105115	-7202.822620921103	-7197.611282664842	-7208.346076328934	1560226238.8357937
1000	4	1	8	2738	0.2	-8084.570305734123	-8109.1466151149825	-8104.531303895593	-8114.683653188099	1560227201.450775
1000	4	1	8	2739	0.4	-8356.976833723531	-8382.590392966998	-8375.632513954662	-8383.969091086998	1560226197.0508075
1000	4	1	8	2740	0.6	-8384.600042582977	-8396.93084732978	-8372.899632912124	-8382.756423418756	1560227088.2272925
1000	4	1	8	2741	0.8	-8485.425910347472	-8516.094621522414	-8523.185886029956	-8531.105036812876	1560226441.1761105
1000	4	1	8	2742	1.0	-8131.030475258352	-8154.8579159172905	-8150.133974015265	-8158.56776583927	1560225855.9305754
1000	4	2	6	2743	0.0	-8125.0061296738095	-8150.828765549371	-8150.758796148992	-8156.587836692625	1560227226.4251003
1000	4	2	6	2744	0.2	-7744.235149892982	-7761.316787652044	-7764.862958409151	-7770.3698857464115	1560226092.2134
1000	4	2	6	2745	0.4	-7280.4579356313725	-7294.313424164113	-7297.845411109214	-7302.3901284841395	1560227608.926648
1000	4	2	6	2746	0.6	-7383.753737769262	-7416.192955429988	-7408.759898745928	-7417.424179617019	1560226119.6295736
1000	4	2	6	2747	0.8	-7241.238468928498	-7262.141660807556	-7264.799087312615	-7271.232647478146	1560226554.018562
1000	4	2	6	2748	1.0	-8215.449094126008	-8235.722672913578	-8235.335561632326	-8239.878463168543	1560226040.299923
1000	4	3	8	2749	0.0	-8563.936471393488	-8581.457036337146	-8579.464827248266	-8586.714773285374	1560227824.664313
1000	4	3	8	2750	0.2	-7752.832474744492	-7780.55177645735	-7766.905837973121	-7776.9922555028415	1560226459.797931
1000	4	3	8	2751	0.4	-7497.329239397595	-7516.566487257904	-7512.66957640414	-7520.773324243959	1560226869.7334194
1000	4	3	8	2752	0.6	-7680.504777468504	-7705.8573903371325	-7705.758407525087	-7714.828272780391	1560226938.2552207
1000	4	3	8	2753	0.8	-7450.484119415768	-7467.655611803388	-7469.535493363501	-7475.232102066637	1560226276.4247804
1000	4	3	8	2754	1.0	-7766.840830026841	-7783.119389720568	-7784.801105857215	-7791.48302076754	1560225962.785577
1000	4	4	10	2755	0.0	-7775.207352195529	-7787.170170618827	-7789.841210154936	-7792.529106019246	1560226285.753076
1000	4	4	10	2756	0.2	-8700.789693675837	-8721.22490707942	-8713.394424034972	-8719.9874809541	1560226783.4164932
1000	4	4	10	2757	0.4	-8452.682755419286	-8463.613564826106	-8444.044159963956	-8449.935151232607	1560226323.4803133
1000	4	4	10	2758	0.6	-7974.809777234217	-8001.438692534603	-7995.6073435026365	-8006.2003510572695	1560226247.8608413
1000	4	4	10	2759	0.8	-7534.591573717764	-7554.118903290414	-7578.03450512391	-7580.179495081886	1560226840.0776894
1000	4	4	10	2760	1.0	-8057.2902855836655	-8083.046484008971	-8081.050127828365	-8089.323102181121	1560225984.8382936
1000	4	5	14	2761	0.0	-8136.6459036820115	-8156.252274172748	-8146.206708769818	-8157.700855499994	1560226366.7908404
1000	4	5	14	2762	0.2	-8409.620576698433	-8440.625794967069	-8426.707306347529	-8443.577296684549	1560226209.2218359
1000	4	5	14	2763	0.4	-7913.791795020034	-7932.888313808698	-7920.490069436471	-7934.283459214626	1560226591.5287046
1000	4	5	14	2764	0.6	-8059.591161469978	-8070.845056299261	-8070.937670219101	-8074.318035522524	1560226556.29529
1000	4	5	14	2765	0.8	-7615.0702169703145	-7636.62508813201	-7632.3309793072995	-7645.575195767844	1560226411.0462253
1000	4	5	14	2766	1.0	-8138.87183985327	-8163.955061465346	-8176.814140145496	-8186.727211074509	1560225985.9092476
1000	4	6	6	2767	0.0	-7700.3110578896985	-7719.715336900614	-7725.700195669635	-7729.624081900709	1560227090.4558625
1000	4	6	6	2768	0.2	-8177.217904017974	-8202.4880692158	-8202.679310518515	-8211.27133338034	1560226429.8396733
1000	4	6	6	2769	0.4	-7793.156703460439	-7816.111801414017	-7814.29246052404	-7823.291634554258	1560226611.7861686
1000	4	6	6	2770	0.6	-7962.225328445285	-7989.431244982361	-7992.974320419351	-7998.079884161799	1560226696.4212542
1000	4	6	6	2771	0.8	-7389.322463039301	-7412.251374377824	-7422.299914185052	-7426.406948809694	1560226972.9487906
1000	4	6	6	2772	1.0	-8171.913199054698	-8201.958064352373	-8209.86541874902	-8219.18834572636	1560225998.3730392
1000	4	7	4	2773	0.0	-7167.139158063441	-7190.029503035291	-7187.473614682624	-7193.63139367103	1560226403.0150225
1000	4	7	4	2774	0.2	-8036.206151874723	-8066.603579974368	-8079.752130165937	-8082.711595627313	1560228476.0724714
1000	4	7	4	2775	0.4	-6706.613419142035	-6721.04113123662	-6726.632636508597	-6729.513173503251	1560228693.124037
1000	4	7	4	2776	0.6	-7082.4964651112205	-7091.789023422074	-7090.009576987952	-7092.552933727976	1560226403.5365114
1000	4	7	4	2777	0.8	-6684.848884634212	-6701.37299564121	-6700.903119120324	-6708.8915049566795	1560227012.531653
1000	4	7	4	2778	1.0	-6954.0684884407065	-6970.8423691250255	-6976.199366258486	-6977.942801787617	1560226300.5751123
1000	4	8	7	2779	0.0	-8460.638963183927	-8481.076573912107	-8482.119930077173	-8488.69048310546	1560226448.0128722
1000	4	8	7	2780	0.2	-7841.42927846252	-7868.058488950519	-7871.345081822248	-7875.860333181223	1560226549.11733
1000	4	8	7	2781	0.4	-6867.905625070425	-6892.007972181507	-6889.692493784528	-6896.025354506452	1560226662.3168755
1000	4	8	7	2782	0.6	-7883.98735578168	-7902.319934131765	-7894.715388895916	-7907.060418964174	1560227487.3630993
1000	4	8	7	2783	0.8	-7386.636616316562	-7411.5331689507475	-7411.413798379086	-7418.609541718802	1560226767.458827
1000	4	8	7	2784	1.0	-7603.275941333534	-7622.405506496191	-7613.804820559058	-7624.007212550019	1560226285.631397
